row_id,smiles,status,n_atoms,coord_mean_abs,hepg2_pIC50,hct116_pIC50
86,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn([C@H]4C[C@H](n5cc(C)c(=O)[nH]c5=O)O[C@@H]4CO)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CCC(=O)O)[C@H](C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,126,2.740770101547241,5.11,
87,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn([C@H]4C[C@H](n5cc(C)c(=O)[nH]c5=O)O[C@@H]4CO)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CCCC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,132,2.579892158508301,4.74,
88,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn([C@H]4C[C@H](n5cc(C)c(=O)[nH]c5=O)O[C@@H]4CO)nn3)CC[C@]3(C)[C@H](C[C@@H](O)[C@@H]4[C@@]5(C)CCC(=O)[C@@H](C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,114,2.8878560066223145,5.07,
89,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,101,2.434007167816162,5.24,
90,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CN(C)C(=O)CN)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,118,2.6625537872314453,5.31,
91,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CN(C)C(=O)CNC)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,121,3.0742671489715576,5.41,
92,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CN(C)C(=O)[C@@H]6CCCN6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,125,2.73244047164917,5.43,
93,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CN(C)C(=O)[C@H](C)N)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,121,2.975559711456299,5.37,
94,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CN)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,108,2.5775768756866455,5.17,
95,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3nc(C)c(C)nc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CNC(=O)CN)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,115,2.5462536811828613,5.4,
